NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Josh Allen,QB,BUF,377.7,381,562,4193,28,8.8,133,615,9.8,0,0,0,0
Jayden Daniels,QB,WAS,376.6,380,553,4269,27.5,9.6,150,855,6.1,0,0,0,0
Lamar Jackson,QB,BAL,374.9,377,527,4446,28.5,8.3,150,844,3.6,0,0,0,0
Jalen Hurts,QB,PHI,343.9,321,457,3800,25,7.4,155,687,7.4,0,0,0,0
Joe Burrow,QB,CIN,336.6,439,630,4999,30.6,9.8,64,280,2.8,0,0,0,0
Bo Nix,QB,DEN,322.9,415,612,4385,26.6,12.8,101,458,4.4,0,0,0,0
Patrick Mahomes,QB,KC,321.8,420,597,4232,28.9,12.1,78,455,3.3,0,0,0,0
Justin Herbert,QB,LAC,313,399,582,4423,25.1,9.1,85,406,3.8,0,0,0,0
Brock Purdy,QB,SF,311.6,386,545,4567,25.2,14.4,87,368,4.3,0,0,0,0
Baker Mayfield,QB,TB,308.7,396,578,4623,27.4,15.9,75,368,3,0,0,0,0
Kyler Murray,QB,ARI,305,390,550,4116,23.4,13.7,97,617,3,0,0,0,0
Caleb Williams,QB,CHI,294,362,546,3792,24.1,8.8,102,559,2.5,0,0,0,0
C.J. Stroud,QB,HOU,293,390,581,4622,22.4,11.8,75,330,2.8,0,0,0,0
Trevor Lawrence,QB,JAC,287.6,392,570,4464,23.6,12.7,72,288,3.7,0,0,0,0
Drake Maye,QB,NE,281.6,379,549,3715,23.3,16.8,107,665,2.6,0,0,0,0
Dak Prescott,QB,DAL,280.1,424,616,4618,25.1,13.7,49,156,2.3,0,0,0,0
Bryce Young,QB,CAR,277.7,372,555,4089,21.4,12.3,78,378,3.8,0,0,0,0
Jared Goff,QB,DET,272.2,391,557,4551,25.3,13.9,49,99,2.3,0,0,0,0
Geno Smith,QB,LV,267.4,404,566,4335,21.5,13.8,61,288,2.2,0,0,0,0
Matthew Stafford,QB,LAR,266.9,363,532,4077,26.9,8.7,50,110,1.1,0,0,0,0
Jordan Love,QB,GB,262.6,361,532,4242,25.1,16,54,165,2.2,0,0,0,0
J.J. McCarthy,QB,MIN,262.5,359,521,4125,19.9,11.8,78,301,2.6,0,0,0,0
Justin Fields,QB,NYJ,260,306,458,3018,16.7,10.4,137,655,6.1,0,0,0,0
Cam Ward,QB,TEN,250,384,564,4029,20.6,12.4,79,239,2,0,0,0,0
Aaron Rodgers,QB,PIT,248.3,364,512,3887,22.9,8.2,51,201,1.1,0,0,0,0
Sam Darnold,QB,SEA,234.6,325,476,3411,21.1,10.4,68,267,2.6,0,0,0,0
Tua Tagovailoa,QB,MIA,226.7,338,500,3782,21.4,7.9,38,104,0.7,0,0,0,0
Daniel Jones,QB,IND,220.4,267,395,2964,15.6,8.2,94,378,5.2,0,0,0,0
Michael Penix Jr.,QB,ATL,219.7,332,500,3691,19.4,13.5,58,120,3.1,0,0,0,0
Russell Wilson,QB,NYG,184,260,381,2774,14.6,5.9,46,189,2.5,0,0,0,0
Tyler Shough,QB,NO,161.6,242,356,2474,12.1,8.3,55,196,1.5,0,0,0,0
Kenny Pickett,QB,CLE,140.6,234,350,2351,11.2,7.4,41,100,1.9,0,0,0,0
Anthony Richardson,QB,IND,61.6,90,133,999,5.3,5.8,11,41,0.5,0,0,0,0
Jaxson Dart,QB,NYG,60.2,87,128,925,4.3,2.6,22,85,0.5,0,0,0,0
Spencer Rattler,QB,NO,54.6,114,167,1160,4.8,4.1,10,42,0.2,0,0,0,0
Zach Wilson,QB,MIA,45.2,67,99,751,4.4,2.4,2,-2,0,0,0,0,0
Dillon Gabriel,QB,CLE,44.1,66,98,662,3.2,2.1,17,71,0.5,0,0,0,0
Joe Flacco,QB,CLE,35.9,68,102,679,3.4,3.1,4,6,0.1,0,0,0,0
Jalen Milroe,QB,SEA,31.4,36,53,377,2.2,1.1,16,70,0.4,0,0,0,0
Sam Howell,QB,MIN,23.8,35,51,405,1.9,1.2,6,15,0.2,0,0,0,0
Jameis Winston,QB,NYG,20.9,38,56,406,1.8,1.3,4,10,0.1,0,0,0,0
Tyrod Taylor,QB,NYJ,17.1,34,52,338,1.8,1,4,9,0.1,0,0,0,0
Mac Jones,QB,SF,12.2,18,25,209,1.2,0.9,1,1,0,0,0,0,0
Mason Rudolph,QB,PIT,12,16,22,170,1.1,0.8,1,2,0,0,0,0,0
Kirk Cousins,QB,ATL,10.1,17,25,187,1,0.8,1,1,0,0,0,0,0
Shedeur Sanders,QB,CLE,9.9,16,23,160,0.8,0.5,3,11,0.1,0,0,0,0
Jake Browning,QB,CIN,3.3,4,6,45,0.3,0.1,1,3,0,0,0,0,0
Davis Mills,QB,HOU,3.1,4,6,46,0.2,0.1,2,4,0,0,0,0,0
Kyle Trask,QB,TB,2.9,4,6,49,0.2,0.1,1,2,0,0,0,0,0
Jarrett Stidham,QB,DEN,2.8,4,6,43,0.2,0.1,1,2,0,0,0,0,0
Taylor Heinicke,QB,LAC,2.8,4,6,44,0.3,0.1,1,2,0,0,0,0,0
Cooper Rush,QB,BAL,2.7,4,6,52,0.3,0.1,0,0,0,0,0,0,0
Mitch Trubisky,QB,BUF,2.7,4,6,45,0.3,0.1,0,0,0,0,0,0,0
Nick Mullens,QB,JAC,2.7,4,6,46,0.3,0.1,1,2,0,0,0,0,0
Marcus Mariota,QB,WAS,2.6,4,6,46,0.3,0.1,0,0,0,0,0,0,0
Gardner Minshew II,QB,KC,2.6,4,6,44,0.3,0.1,0,0,0,0,0,0,0
Joe Milton III,QB,DAL,2.6,4,6,42,0.2,0.1,0,0,0,0,0,0,0
Hendon Hooker,QB,DET,2.6,4,6,48,0.3,0.1,0,0,0,0,0,0,0
Jimmy Garoppolo,QB,LAR,2.5,4,6,47,0.3,0.1,0,0,0,0,0,0,0
Malik Willis,QB,GB,2.5,4,5,41,0.2,0.1,0,1,0,0,0,0,0
Tyson Bagent,QB,CHI,2.4,4,6,39,0.2,0.1,1,1,0,0,0,0,0
Tanner McKee,QB,PHI,2.4,4,6,51,0.3,0.1,0,0,0,0,0,0,0
Aidan O’Connell,QB,LV,2.3,4,6,44,0.2,0.1,0,0,0,0,0,0,0
Jacoby Brissett,QB,ARI,2.3,4,5,39,0.2,0.1,0,0,0,0,0,0,0
Andy Dalton,QB,CAR,2.2,4,6,42,0.2,0.1,0,0,0,0,0,0,0
Drew Lock,QB,SEA,2.2,4,5,37,0.2,0.1,0,1,0,0,0,0,0
