NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
Josh Allen,QB,21.8,22.7,24.8,23.1,BUF
Lamar Jackson,QB,25.0,20.6,19.4,21.7,BAL
Patrick Mahomes,QB,17.6,17.4,24.2,19.7,KC
Christian McCaffrey,RB,11.8,24.4,20.9,19.0,SF
Jayden Daniels,QB,20.5,0.0,0.0,20.5,WAS
Davante Adams,WR,17.1,15.6,19.7,17.5,LAR
Ja’Marr Chase,WR,23.6,16.4,20.1,20.0,CIN
Derrick Henry,RB,19.8,14.4,18.8,17.7,BAL
Kyler Murray,QB,17.4,17.9,16.8,17.4,ARI
Justin Jefferson,WR,18.6,20.2,21.5,20.1,MIN
Dak Prescott,QB,14.5,19.9,16.5,17.0,DAL
Tyreek Hill,WR,12.8,23.4,20.1,18.8,MIA
Joe Burrow,QB,21.9,14.6,21.5,19.3,CIN
Justin Herbert,QB,16.4,17.8,16.4,16.9,LAC
Jalen Hurts,QB,21.0,20.9,24.5,22.1,PHI
Alvin Kamara,RB,18.9,17.4,14.5,16.9,NO
Bo Nix,QB,18.6,0.0,0.0,18.6,DEN
Jahmyr Gibbs,RB,20.7,16.1,0.0,18.4,DET
Aaron Rodgers,QB,14.8,0.0,13.8,14.3,PIT
Puka Nacua,WR,18.7,17.5,0.0,18.1,LAR
Malik Nabers,WR,18.1,0.0,0.0,18.1,NYG
Cooper Kupp,WR,14.6,13.5,22.3,16.8,SEA
Stefon Diggs,WR,15.0,15.9,19.8,16.9,NE
Amon-Ra St. Brown,WR,19.8,20.6,16.8,19.1,DET
Devon Achane,RB,17.4,17.3,0.0,17.4,MIA
Russell Wilson,QB,15.6,16.8,14.9,15.8,NYG
CeeDee Lamb,WR,17.4,23.5,17.6,19.5,DAL
Bijan Robinson,RB,19.9,14.4,0.0,17.2,ATL
Kirk Cousins,QB,12.6,18.6,16.7,16.0,ATL
Jonathan Taylor,RB,17.4,15.6,13.3,15.4,IND
Joe Mixon,RB,17.1,15.5,17.1,16.6,HOU
Austin Ekeler,RB,10.9,13.1,21.8,15.3,WAS
Travis Kelce,TE,12.3,14.7,18.4,15.1,KC
A.J. Brown,WR,16.6,17.0,17.6,17.1,PHI
Brian Thomas Jr.,WR,16.4,0.0,0.0,16.4,JAC
Jared Goff,QB,18.9,16.9,16.4,17.4,DET
Mike Evans,WR,17.1,16.6,15.1,16.3,TB
Josh Jacobs,RB,17.2,13.8,19.3,16.8,GB
Breece Hall,RB,14.8,16.9,16.3,16.0,NYJ
Brock Purdy,QB,17.7,18.4,11.7,15.9,SF
Chris Godwin,WR,19.7,12.1,14.6,15.5,TB
Anthony Richardson,QB,14.7,17.0,0.0,15.9,IND
Jake Browning,QB,0.0,15.8,0.0,15.8,CIN
Sam Howell,QB,-0.7,14.8,17.0,10.4,MIN
C.J. Stroud,QB,12.9,18.1,0.0,15.5,HOU
Brock Bowers,TE,15.4,0.0,0.0,15.4,LV
Tua Tagovailoa,QB,16.0,15.8,17.7,16.5,MIA
Matthew Stafford,QB,13.4,15.9,11.9,13.7,LAR
James Conner,RB,15.6,15.5,15.4,15.5,ARI
Baker Mayfield,QB,21.4,15.8,10.0,15.7,TB
Ladd McConkey,WR,14.9,0.0,0.0,14.9,LAC
Saquon Barkley,RB,22.1,15.8,17.6,18.5,PHI
David Montgomery,RB,16.2,14.6,11.1,14.0,DET
Aaron Jones,RB,14.1,12.2,14.5,13.6,MIN
Justin Fields,QB,11.8,17.6,19.5,16.3,NYJ
Rashee Rice,WR,16.0,13.3,0.0,14.7,KC
Trevor Lawrence,QB,13.8,16.1,17.0,15.6,JAC
Caleb Williams,QB,14.5,0.0,0.0,14.5,CHI
Calvin Ridley,WR,11.6,13.4,0.0,12.5,TEN
Bucky Irving,RB,14.4,0.0,0.0,14.4,TB
Kenneth Walker III,RB,16.4,13.2,13.5,14.4,SEA
DeAndre Hopkins,WR,9.2,13.1,16.8,13.0,BAL
Deebo Samuel,WR,10.2,16.2,12.9,13.1,WAS
DK Metcalf,WR,12.7,14.1,13.3,13.4,PIT
George Kittle,TE,15.7,12.7,13.3,13.9,SF
Tee Higgins,WR,18.5,11.4,13.6,14.5,CIN
DJ Moore,WR,13.8,16.8,11.7,14.1,CHI
Adam Thielen,WR,13.9,13.4,10.4,12.6,CAR
DeVonta Smith,WR,15.3,14.2,15.1,14.9,PHI
Kyren Williams,RB,16.9,21.0,3.6,13.8,LAR
Drake Maye,QB,13.8,0.0,0.0,13.8,NE
D’Andre Swift,RB,12.4,12.4,13.4,12.7,CHI
Terry McLaurin,WR,15.7,11.9,13.4,13.7,WAS
Nick Chubb,RB,7.9,11.5,16.4,11.9,HOU
Jaylen Waddle,WR,9.8,14.1,15.2,13.0,MIA
Jimmy Garoppolo,QB,19.0,8.7,14.9,14.2,LAR
Najee Harris,RB,12.0,11.5,13.1,12.2,LAC
Jordan Addison,WR,14.1,13.0,0.0,13.6,MIN
Daniel Jones,QB,13.4,9.3,17.8,13.5,IND
Easton Stick,QB,0.0,13.4,0.0,13.4,ATL
Mark Andrews,TE,11.1,13.5,12.5,12.4,BAL
Garrett Wilson,WR,14.6,12.5,12.6,13.2,NYJ
Tyler Lockett,WR,7.1,11.6,14.8,11.2,TEN
Joe Flacco,QB,12.3,19.6,9.4,13.8,CLE
Brandon Aiyuk,WR,8.7,15.6,13.4,12.6,SF
Nico Collins,WR,17.5,17.1,9.7,14.8,HOU
Geno Smith,QB,15.6,14.8,17.8,16.1,LV
Drake London,WR,16.5,10.7,10.4,12.5,ATL
Zay Flowers,WR,12.2,12.7,0.0,12.5,BAL
Jayden Reed,WR,11.5,13.4,0.0,12.5,GB
Tank Dell,WR,9.9,14.9,0.0,12.4,HOU
Sam LaPorta,TE,10.9,13.8,0.0,12.4,DET
Chris Olave,WR,9.5,14.3,13.1,12.3,NO
Travis Etienne Jr.,RB,8.6,16.3,11.9,12.3,JAC
James Cook,RB,16.6,13.6,6.6,12.3,BUF
Jakobi Meyers,WR,14.3,13.6,12.8,13.6,LV
Diontae Johnson,WR,7.3,11.7,10.3,9.8,CLE
Michael Pittman Jr.,WR,10.3,15.4,13.5,13.1,IND
Rachaad White,RB,12.4,15.7,8.1,12.1,TB
Darren Waller,TE,0.0,9.4,9.3,9.4,MIA
Marcus Mariota,QB,15.0,3.7,14.7,11.1,WAS
Rhamondre Stevenson,RB,11.4,12.0,15.0,12.8,NE
Jaxon Smith-Njigba,WR,15.1,8.8,0.0,12.0,SEA
Sam Darnold,QB,18.1,2.2,15.2,11.8,SEA
Bryce Young,QB,13.9,9.5,0.0,11.7,CAR
Tony Pollard,RB,12.3,12.9,15.5,13.6,TEN
Brandin Cooks,WR,6.9,10.6,11.1,9.5,NO
T.J. Hockenson,TE,8.6,14.6,12.4,11.9,MIN
J.K. Dobbins,RB,14.6,11.0,10.1,11.9,DEN
Christian Kirk,WR,8.6,12.4,14.1,11.7,HOU
Marvin Harrison Jr.,WR,11.5,0.0,0.0,11.5,ARI
Marquise Brown,WR,9.0,9.6,12.9,10.5,KC
Brian Robinson Jr.,RB,11.3,13.0,9.3,11.2,WAS
George Pickens,WR,11.7,12.2,9.6,11.2,DAL
Josh Downs,WR,13.0,9.2,0.0,11.1,IND
Mac Jones,QB,9.3,9.5,11.9,10.2,SF
Xavier Worthy,WR,10.9,0.0,0.0,10.9,KC
Jerry Jeudy,WR,13.9,8.8,13.6,12.1,CLE
Gardner Minshew II,QB,9.3,12.0,7.2,9.5,KC
Aidan O’Connell,QB,10.3,11.4,0.0,10.9,LV
Kareem Hunt,RB,11.8,7.9,7.4,9.0,KC
Courtland Sutton,WR,14.1,11.9,10.5,12.2,DEN
Josh Johnson,QB,0.0,0.0,0.0,0.0,WAS
Russell Gage,WR,0.0,0.0,9.4,9.4,SF
Antonio Gibson,RB,6.0,7.9,11.0,8.3,NE
Zach Wilson,QB,0.0,9.6,11.1,10.4,MIA
Dallas Goedert,TE,10.3,9.7,11.9,10.6,PHI
Tyrone Tracy Jr.,RB,10.6,0.0,0.0,10.6,NYG
Javonte Williams,RB,9.2,10.9,10.3,10.1,DAL
Isiah Pacheco,RB,8.0,15.6,7.9,10.5,KC
Joshua Dobbs,QB,15.0,14.9,10.0,13.3,NE
Jalen McMillan,WR,10.4,0.0,0.0,10.4,TB
