NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD,Y2024,Y2023,Y2022,AVG_PPG_PPR,BYE,WEIGHTED_SCORE,TIER
Josh Allen,QB,BUF,377.7,381,562,4193,28.0,8.8,133,615,9.8,0,0,0,0.0,21.8,22.7,24.8,23.1,7,376.08000000000004,1
Lamar Jackson,QB,BAL,374.9,377,527,4446,28.5,8.3,150,844,3.6,0,0,0,0.0,25.0,20.6,19.4,21.7,7,369.36,1
Jayden Daniels,QB,WAS,376.6,380,553,4269,27.5,9.6,150,855,6.1,0,0,0,0.0,20.5,0.0,0.0,20.5,12,366.88000000000005,1
Jalen Hurts,QB,PHI,343.9,321,457,3800,25.0,7.4,155,687,7.4,0,0,0,0.0,21.0,20.9,24.5,22.1,9,345.84000000000003,2
Joe Burrow,QB,CIN,336.6,439,630,4999,30.6,9.8,64,280,2.8,0,0,0,0.0,21.9,14.6,21.5,19.3,10,331.04,3
Patrick Mahomes,QB,KC,321.8,420,597,4232,28.9,12.1,78,455,3.3,0,0,0,0.0,17.6,17.4,24.2,19.7,10,320.48,4
Bo Nix,QB,DEN,322.9,415,612,4385,26.6,12.8,101,458,4.4,0,0,0,0.0,18.6,0.0,0.0,18.6,12,317.84000000000003,4
Justin Herbert,QB,LAC,313.0,399,582,4423,25.1,9.1,85,406,3.8,0,0,0,0.0,16.4,17.8,16.4,16.9,12,304.48,5
Brock Purdy,QB,SF,311.6,386,545,4567,25.2,14.4,87,368,4.3,0,0,0,0.0,17.7,18.4,11.7,15.9,14,300.16,5
Kyler Murray,QB,ARI,305.0,390,550,4116,23.4,13.7,97,617,3.0,0,0,0,0.0,17.4,17.9,16.8,17.4,8,299.68,5
Baker Mayfield,QB,TB,308.7,396,578,4623,27.4,15.9,75,368,3.0,0,0,0,0.0,21.4,15.8,10.0,15.7,9,297.2,5
C.J. Stroud,QB,HOU,293.0,390,581,4622,22.4,11.8,75,330,2.8,0,0,0,0.0,12.9,18.1,0.0,15.5,6,284.0,6
Caleb Williams,QB,CHI,294.0,362,546,3792,24.1,8.8,102,559,2.5,0,0,0,0.0,14.5,0.0,0.0,14.5,5,281.6,6
Trevor Lawrence,QB,JAC,287.6,392,570,4464,23.6,12.7,72,288,3.7,0,0,0,0.0,13.8,16.1,17.0,15.6,8,280.00000000000006,6
Dak Prescott,QB,DAL,280.1,424,616,4618,25.1,13.7,49,156,2.3,0,0,0,0.0,14.5,19.9,16.5,17.0,10,278.48,6
Jared Goff,QB,DET,272.2,391,557,4551,25.3,13.9,49,99,2.3,0,0,0,0.0,18.9,16.9,16.4,17.4,8,273.44,6
Drake Maye,QB,NE,281.6,379,549,3715,23.3,16.8,107,665,2.6,0,0,0,0.0,13.8,0.0,0.0,13.8,14,269.44000000000005,6
Geno Smith,QB,LV,267.4,404,566,4335,21.5,13.8,61,288,2.2,0,0,0,0.0,15.6,14.8,17.8,16.1,8,265.44,6
J.J. McCarthy,QB,MIN,262.5,359,521,4125,19.9,11.8,78,301,2.6,0,0,0,0.0,,,,,6,262.5,6
Justin Fields,QB,NYJ,260.0,306,458,3018,16.7,10.4,137,655,6.1,0,0,0,0.0,11.8,17.6,19.5,16.3,9,260.16,6
Bryce Young,QB,CAR,277.7,372,555,4089,21.4,12.3,78,378,3.8,0,0,0,0.0,13.9,9.5,0.0,11.7,14,259.6,6
Matthew Stafford,QB,LAR,266.9,363,532,4077,26.9,8.7,50,110,1.1,0,0,0,0.0,13.4,15.9,11.9,13.7,8,257.36,6
Cam Ward,QB,TEN,250.0,384,564,4029,20.6,12.4,79,239,2.0,0,0,0,0.0,,,,,10,250.0,6
